date,Audi,BMW,Mini,Mercedes Benz,Mitsubishi Fuso,FCA,Honda Group,Hyundai,Isuzu,Jaguar Land Rover,Kia,Mazda,Mitsubishi,Nissan,Porsche,Subaru,Tesla,Toyota Group,Volkswagen,Volvo,year,month
Jan 2019,14253,18102,2457,23721,0,136082,106139,42020,265,10463,37376,20045,8708,100741,5419,46072,18411,156021,23074,5854,2019,Jan
Dec 2018,22765,34357,2797,36132,4,196520,155115,65721,534,14079,47428,25870,8986,148720,4086,64541,24712,220910,32047,8826,2018,Dec
Nov 2018,17082,28330,3528,32879,3,181310,120534,57499,415,11744,45101,20660,7688,110513,5673,56782,16843,190423,26789,8181,2018,Nov
Oct 2018,16056,23262,3166,31719,4,177391,122182,53025,387,10494,45102,18673,8002,109962,4817,55394,17851,191102,29000,7327,2018,Oct
Sep 2018,19319,25908,3461,30617,3,199819,132668,57359,415,9006,51503,21257,7705,122819,5102,57044,15175,203098,30555,8715,2018,Sep
Aug 2018,20907,23789,3800,24084,3,193718,147903,57542,319,9648,53864,25816,8416,112376,4083,64088,8514,223055,32255,8970,2018,Aug
Jul 2018,19221,21982,4296,22955,4,170970,138602,51752,272,8089,53112,24125,9950,108792,4020,59426,9517,208770,30520,8622,2018,Jul
Jun 2018,19471,29407,4146,28999,6,202264,146563,64052,301,9335,56571,17423,11149,79943,4892,59841,9351,209602,28941,9868,2018,Jun
May 2018,19315,30888,4226,30077,6,214294,153069,66056,299,9469,59462,29980,12416,131832,5005,60146,3144,215321,31211,9338,2018,May
Apr 2018,19104,27213,3731,30022,4,184149,125701,56063,198,8467,50585,23056,7990,87764,5570,53170,3471,192348,28794,8333,2018,Apr
Mar 2018,20090,35842,4531,31374,17,216063,142392,61540,337,14232,50645,33302,14319,162535,4756,58097,6159,222782,32548,8233,2018,Mar
Feb 2018,15451,26573,3065,27788,12,165903,115557,46095,267,9013,40672,25731,12973,129930,4382,47249,2698,182195,26660,6283,2018,Feb
Jan 2018,14511,19016,2937,27498,2,132803,104542,41242,166,9050,35628,24962,8480,123538,4816,44357,6566,167056,24744,5567,2018,Jan
Dec 2017,26977,34253,4611,39250,34,171946,149317,63594,394,11394,43039,26893,8501,138226,3913,63342,5787,222985,30281,9679,2017,Dec
Nov 2017,19195,28049,4038,34112,4,154919,133156,57211,340,9862,44302,21469,8609,135985,5555,51721,2863,191617,29207,7854,2017,Nov
Oct 2017,19425,23208,3669,31404,4,153373,127353,53010,768,8368,44397,20811,7381,123012,4715,54045,5346,188434,27732,7006,2017,Oct
Sep 2017,19308,25571,3736,32096,14,174266,142722,57007,423,9703,52468,25738,8430,139932,5059,55120,4694,226632,32112,7900,2017,Sep
Aug 2017,19811,23553,4448,28954,16,176033,146048,54310,181,9421,53323,25846,8164,108326,4709,63215,2372,227625,32015,7993,2017,Aug
Jul 2017,18824,21965,4398,28669,8,161477,150947,54063,250,9081,56403,27089,8025,128295,3901,55703,3384,222057,27091,6967,2017,Jul
Jun 2017,19416,28962,4410,32102,8,187348,139793,54507,257,8706,56143,22342,7625,73720,4516,52057,4076,202376,27377,7303,2017,Jun
May 2017,19197,29881,4063,29956,14,193040,148414,60011,206,8106,58507,26047,9429,137471,4805,56135,2146,218252,30014,6202,2017,May
Apr 2017,18711,26105,3481,29125,6,176176,138386,63050,248,8441,53358,24164,8375,121998,5529,52368,3839,201926,27557,7121,2017,Apr
Mar 2017,18705,36002,4987,31961,11,190254,137227,69265,317,12918,49429,24549,11766,168832,4479,54871,3942,215224,27635,5356,2017,Mar
Feb 2017,13741,24712,2154,27035,2,168326,121686,53020,205,9231,42673,22824,10924,135740,3637,45500,2007,174339,25145,4651,2017,Feb
Jan 2017,13201,18109,3110,27576,1,152218,106380,46507,203,9102,35626,21698,6457,112319,4602,43879,5500,143048,23510,3472,2017,Jan
Dec 2016,23195,32835,4658,35871,16,192519,160477,62305,712,12573,54353,28754,7383,152743,4015,63177,5356,243229,37229,10129,2016,Dec
Nov 2016,17118,26189,4507,32927,5,160827,122924,62507,289,9040,52504,22041,6896,115136,5513,51308,1344,197687,29672,7723,2016,Nov
Oct 2016,17721,24017,3954,31383,11,176609,126161,62505,592,8751,48977,22711,7637,113520,4506,53760,5903,186295,24779,6340,2016,Oct
Sep 2016,17617,25389,4024,32470,10,192883,133655,66610,508,8299,49220,24889,7191,127797,4479,54918,4913,197260,24112,5608,2016,Sep
Aug 2016,19264,25531,4969,31556,7,196804,149571,72015,610,9329,54248,26109,7336,124638,5181,60418,3415,213126,29384,7682,2016,Aug
Jul 2016,18364,25777,4774,31795,0,180389,152799,75003,406,9473,59969,27915,7890,132475,3878,52093,4270,214233,28758,8584,2016,Jul
Jun 2016,18445,28855,4914,31558,16,202421,138715,67510,338,8448,62572,26188,8023,140553,4482,46598,3962,198257,23809,8592,2016,Jun
May 2016,18728,29017,4595,32147,9,194720,147108,71007,347,7114,62926,28328,9025,133496,4578,50083,1631,219339,28779,5536,2016,May
Apr 2016,17801,24951,4796,31825,9,189005,148829,62213,304,6275,56508,26195,9674,123861,5410,50380,4289,211125,27112,6169,2016,Apr
Mar 2016,18392,30033,4762,31236,12,199467,138221,75310,231,10866,58279,23396,11078,163559,4323,49285,3200,219842,26914,6857,2016,Mar
Feb 2016,11718,22498,2839,25210,8,187318,118986,53009,189,7929,49737,21544,7870,130911,3561,42011,1807,187954,22321,5260,2016,Feb
Jan 2016,11850,18082,3238,26563,7,171353,100496,45011,139,7007,38305,19703,6264,105734,4354,41101,1561,161283,20079,4244,2016,Jan
Dec 2015,20399,34625,5009,38249,18,213924,150893,63508,425,9638,54241,29294,7887,139300,3936,56274,3311,238350,30956,9341,2015,Dec
Nov 2015,16700,32003,4444,32813,22,187731,115441,60007,409,7604,45555,22732,6772,107083,4450,46070,2008,189517,23882,6903,2015,Nov
Oct 2015,17700,29439,4087,31751,16,196898,131651,60005,552,8187,50044,25451,7426,116047,4069,51629,1902,204045,30387,7422,2015,Oct
Sep 2015,17340,26608,4414,31337,10,194666,133750,64015,388,6850,49820,25616,7556,121782,4425,53070,2223,194399,26141,5527,2015,Sep
Aug 2015,18794,27755,5109,30633,27,190887,155491,72012,303,6368,58895,29938,8289,133351,5008,52697,1750,224381,32332,5869,2015,Aug
Jul 2015,17654,26970,5191,29690,16,180124,146324,71013,218,6253,56311,27157,7868,130872,4730,50517,1817,217181,31300,5619,2015,Jul
Jun 2015,18262,32176,6174,30486,18,185035,134397,67502,294,5860,54137,27223,7963,124228,4223,44335,2490,209912,30436,5985,2015,Jun
May 2015,18428,31003,5833,32352,17,202227,154593,63610,265,6586,62433,29606,9575,134779,4268,49561,2000,242579,34758,5023,2015,May
Apr 2015,16827,26952,5476,31951,28,189027,130068,68009,289,6390,53282,24123,8216,109848,5217,47241,1995,203329,30009,4636,2015,Apr
Mar 2015,17102,34310,5829,32300,24,197261,126293,75019,305,8438,58771,32123,9764,145085,4291,49111,2614,225959,30025,5916,2015,Mar
Feb 2015,11455,25201,3720,25291,15,163586,105466,52505,213,6327,44030,25650,7533,118436,3202,41358,1099,180467,25710,4012,2015,Feb
Jan 2015,11541,18981,3228,26124,20,145007,102184,44505,142,6547,38299,20271,6493,104107,3937,40812,2036,169194,23504,3794,2015,Jan
Dec 2014,19238,41526,6615,37297,33,193261,137281,64507,380,7437,45587,24808,6545,117318,3275,49923,1056,215057,34058,4920,2014,Dec
Nov 2014,16640,31019,5009,37110,21,170839,121814,53672,250,4897,44936,21242,6534,103188,4699,45273,1052,183346,31726,3623,2014,Nov
Oct 2014,15150,30602,5300,30733,19,170480,121172,50081,213,4650,44694,18798,6199,103117,3667,43012,1648,180580,30312,3972,2014,Oct
Sep 2014,14917,25586,4219,29523,27,169890,118223,56010,237,4248,40628,23980,5558,102955,3607,41517,2029,167279,25996,4667,2014,Sep
Aug 2014,17101,27214,5006,28960,18,198379,167038,70003,304,5673,54667,31305,6786,134388,4540,50246,362,246100,35181,4960,2014,Aug
Jul 2014,14616,26409,5811,29406,23,180902.30508474575,135908,67011,457,5830,52309,29238,6349,121452,4300,45714,973,215802,30553,4894,2014,Jul
Jun 2014,16867,30201,5376,28707,25,180902.30508474575,129023,67407,409,5301,50644,26208,6021,109643,4102,41367,1215,201714,28827,5983,2014,Jun
May 2014,16601,29602,5729,28881,23,194421,152603,70907,362,5840,60087,29731,7269,135934,4609,44170,1100,243236,32163,5014,2014,May
Apr 2014,15653,25202,4390,28281,32,178652,132456,66107,327,5568,53676,22434,6542,103934,4072,40083,905,199660,30831,4635,2014,Apr
Mar 2014,14246,32107,3655,29316,17,193915,133318,67005,634,6215,54777,34903,8996,149136,3808,44479,1953,215348,36717,5915,2014,Mar
Feb 2014,10881,22017,2459,24030,14,154866,100405,49003,528,5558,41218,24341,5977,115360,3232,34909,701,159284,27112,3991,2014,Feb
Jan 2014,10101,18253,2543,23892,28,127183,91631,44005,590,6021,37011,18813,4867,90470,3096,33000,791,146365,23494,3792,2014,Jan
Dec 2013,17013,37389,6592,35835,46,180902.30508474575,135255,63005,417,7308,33631,22964,6423,109758,3246,40172,1916,190843,34015,4888,2013,Dec
